category,productStatus,image,_id,price,SKU,productCode,type,description,brand,stock,__v,createdAt,updatedAt
"normal","deactive","/products/product_placeholder.png","5cb656e91156a350066201c3",6,"3723","3723","MEN  VIALS","CREED HIMALAYA VIAL","CREED",10,0,"2019-04-16T22:27:53.237Z","2019-04-16T22:36:10.632Z"
"normal","active","/products/product_placeholder.png","5cb659171156a35006620872",0.89,"1","1","MEN  VIALS","TestItem","NEW",10,0,"2019-04-16T22:37:11.980Z","2019-04-30T00:46:01.150Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620874",0.75,"2358","2358","MEN  VIALS","DUNHILL DESIRE FRESH VIAL","DUNHILL",24,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620875",0.9,"2356","2356","MEN  VIALS","FERRARI PASSION VIAL","FERRARI",9,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620876",4,"4686","4686","MEN  VIALS","SAUVAGE 0.03 EDP  VIAL","CHRISTIAN DIOR",24,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620877",22,"4668","4668","Men AfterShave","CK ETERNITY AFTER SHAVE 3.4 SPLASH","CALVIN KLEIN",23,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620878",22,"4667","4667","Men AfterShave","CK ETERNITY NOW AFTER SHAVE 3.4  SPLASH","CALVIN KLEIN",23,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620879",20,"2388","2388","MEN BATH & BODY","CK EUPHORIA 3.4 A/S SPALSH UNBOX","CALVIN KLEIN",3,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662087a",10,"4690","4690","MEN BATH & BODY","CK ONE 5.4 ALL OVER BODY SPRAY","CALVIN KLEIN",24,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662087b",6,"2607","2607","MEN BATH & BODY","JORDAN ENERGY HAIR & BODY WASH 12 UB","MICHAEL JORDAN",12,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662087c",4,"2387","2387","MEN BATH & BODY","KENNETH COLE CONNECTED REACTION 3.4 A/S UB","KENNETH COLE",6,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662087d",4,"2394","2394","MEN BATH & BODY","KENNETH COLE REACTION 3.4 A/S UB","KENNETH COLE",6,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662087e",7,"3861","3861","MEN BATH & BODY","KENNETH COLE REACTION DEODORANT STICK","KENNETH COLE",3,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662087f",6,"2395","2395","MEN BATH & BODY","KENNETH COLE VINTAGE BLACK 3.4 A/S UB","KENNETH COLE",2,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620880",2.5,"2376","2376","MEN BATH & BODY","LIZ CLAIBORNE LUCKY #6 3.4 S/G UB","LIZ CLAIBORNE",12,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620881",5,"2377","2377","MEN BATH & BODY","LIZ CLAIBORNE LUCKY #6 6.7 S/G UB","LIZ CLAIBORNE",18,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620882",20,"4689","4689","MEN BATH & BODY","PACO RABANNE 1 MILLION 5.1 BODY SPRAY UNBOX","PACO RABANNE",16,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620883",3,"2383","2383","MEN BATH & BODY","PERRY ELLIS 360 3.0 A/S UB","PERRY ELLIS",12,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620884",2,"2378","2378","MEN BATH & BODY","PERRY ELLIS 360 3.0 S/G UB","PERRY ELLIS",5,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620885",5,"2344","2344","MEN BATH & BODY","PERRY ELLIS 360 DEO UNBOX","PERRY ELLIS",8,0,"2019-04-16T22:40:48.767Z","2019-04-16T22:40:48.767Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620886",6,"2657","2657","MEN BATH & BODY","PERRY ELLIS 360 RED S/G 3.0 UNBOX","PERRY ELLIS",10,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620887",6,"2343","2343","MEN BATH & BODY","PERRY ELLIS 360 WHITE DEO UNBOX","PERRY ELLIS",4,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620888",10,"2386","2386","MEN BATH & BODY","POLO RED 3.4 A/S UB","RALPH LAUREN",6,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620889",14,"2362","2362","MEN BATH & BODY","VERA WANG 3.4 AFTERSHAVE SPLASH UNBOX","VERA WANG",6,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662088a",4,"2561","2561","MEN MINI","ARMANI EAU POUR HOMME .24 EDT MINI","GIORGIO ARMANI",24,0,"2019-04-16T22:40:48.768Z","2019-04-17T01:30:00.077Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662088b",5,"2893","2893","MEN MINI","BURBERRY BRIT RHYTHM MEN MINI .17 OZ","BURBERRY",24,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662088c",5,"4758","4758","MEN MINI","BURBERRY CLASSIC MEN MINI SPLASH 5 ML","BURBERRY",17,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662088d",5,"2895","2895","MEN MINI","BURBERRY LONDON MEN MINI .15 OZ","BURBERRY",23,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662088e",6,"2903","2903","MEN MINI","BVLGARI AQVA POUR HOMME MINI 0.17 OZ","BVLGARI",6,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a3500662088f",6,"3711","3711","MEN MINI","BVLGARI BLV POUR HOMME 0.17 MINI","BVLGARI",18,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620890",5,"2902","2902","MEN MINI","BVLGARI MAN 0.17 MINI","BVLGARI",19,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620891",8,"4204","4204","MEN MINI","BVLGARI MAN 0.34 EDT MINI","BVLGARI",6,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620892",10,"4273","4273","MEN MINI","BVLGARI MAN BLACK COLOGNE 0.5 EDT MINI","BVLGARI",6,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620893",6,"2917","2917","MEN MINI","BVLGARI MAN EXTREME 0.17 EDT SPLASH MINI","BVLGARI",19,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
"normal","active","/products/product_placeholder.png","5cb659f01156a35006620894",4,"3745","3745","MEN MINI","BVLGARI MAN IN BLACK 0.17 EDP MINI  UNBOX","BVLGARI",6,0,"2019-04-16T22:40:48.768Z","2019-04-16T22:40:48.768Z"
